@@,itemlabel,item,startdate,enddate
->,"Сиваков, Юрий Леонидович->Сиваков Юрий Леонидович",Q2026197,1999-02-08,2000-04-21
->,"Наумов, Владимир Владимирович->Наумов Владимир Владимирович",Q2468480,2000-09-25,2009-04-04
->,"Кулешов, Анатолий Нилович->Кулешов Анатолий Нилович",Q2080709,2009-06-02,2012-05-11
->,Игорь Анатольевич Шуневич->Шуневич Игорь Анатольевич,Q13028032,2012-05-11,2019-06-10
->,Юрий Хаджимуратович Караев->Караев Юрий Хаджимуратович,Q6549746,2019-06-11,2020-10-29
->,"Кубраков, Иван Владимирович->Кубраков Иван Владимирович",Q98831330,2020-10-29,
