@@,name,position
---,Vadim Sinyavsky,Minister of Emergency Situations of the Republic of Belarus
---,Siarhei Khamenka,Minister of Justice of the Republic of Belarus
---,Ruslan Parkhamovich,Minister of Architecture and Construction of the Republic of Belarus
---,Lieanid Zajac,Deputy Prime Minister of the Republic of Belarus
---,Igor Brylo,Minister of Agriculture and Food of the Republic of Belarus
---,Andrei Ivanets,Minister of Education of the Republic of Belarus
---,Anatol Sivak,Deputy Prime Minister of the Republic of Belarus
---,Alexei Bogdanov,Minister of Antimonopoly Regulation and Trade of the Republic of Belarus
---,Aleksandr Kulik,Minister of Forestry of the Republic of Belarus
