item,itemLabel,startDate,endDate,psid
Q18693073,Міхаіл Анатольевіч Жураўкоў,2014-12-27,2016-12-15,Q18693073-082baf37-43f7-b010-333b-06ac1e6bba53
Q2059825,Васіль Іванавіч Стражаў,1994,2001,Q2059825-511e22b4-46ce-c903-93e1-04aaa251f7e8
Q2073576,Віктар Анатольевіч Гайсёнак,1992-01-16,1994,Q2073576-06766c6d-45b7-eade-7472-2e06bf82494a
Q2564269,Аляксандр Міхайлавіч Радзькоў,2003-08-06,2010-12-28,Q2564269-f274ca29-4632-ae58-4e3e-dd3027efc4d8
Q28016609,Ігар Васільевіч Карпенка,2016-12-15,2021-12-13,Q28016609-806a3886-4854-1f92-fd49-739d4a90c95a
Q3545332,Сяргей Аляксандравіч Маскевіч,2010-12-29,2014-12-27,Q3545332-0479c710-448e-aa3e-b452-3f37f4d87515
Q4096423,Пётр Іванавіч Брыгадзін,2001,2003,Q4096423-db46b030-4b88-8194-52b4-d43faf2e7ae8
Q89419452,Андрэй Іванавіч Іванец,2022-02-10,,Q89419452-0A390868-E9F5-40B5-B7C3-E2B404107E60
