position,title
Q15623433,member of the Council of the Republic of Belarus
Q99180897,member of the Council of the Republic of Belarus of the 2nd convocation
Q98113284,member of the Council of the Republic of Belarus of the 3rd convocation
Q99461036,member of the Council of the Republic of Belarus of the 4th convocation
Q47258727,member of the Council of the Republic of Belarus of the 6th convocation
Q77927043,member of the Council of the Republic of Belarus of the 7th convocation
Q14324101,member of the Supreme Soviet of Belarus
Q14335901,member of the House of Representatives of Belarus
