ordinal,item,itemLabel,start,end,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q85413086,1st Convocation of the National Assembly of Belarus,1996-11-28,2000-11-21,1996-11-28,11,,,2000-11-21,11,,,,,,,,,Q6538974,2nd Convocation of the National Assembly of Belarus
2,Q6538974,2nd Convocation of the National Assembly of Belarus,2000-11-21,2004-11-16,2000-11-21,11,,,2004-11-16,11,,,,,,,Q85413086,1st Convocation of the National Assembly of Belarus,Q6538983,3rd Convocation of the National Assembly of Belarus
3,Q6538983,3rd Convocation of the National Assembly of Belarus,2004-11-16,2008-10-27,2004-11-16,11,,,2008-10-27,11,,,,,,,Q6538974,2nd Convocation of the National Assembly of Belarus,Q6538989,4th Convocation of the National Assembly of Belarus
4,Q6538989,4th Convocation of the National Assembly of Belarus,2008-10-27,2012-10-18,2008-10-27,11,,,2012-10-18,11,,,,,Q28381376,5th Convocation of the National Assembly of Belarus,Q6538983,3rd Convocation of the National Assembly of Belarus,,
5,Q28381376,5th Convocation of the National Assembly of Belarus,2012-09-23,2016-10-10,2012-09-23,11,2012-09-23,11,2016-10-10,11,2016-10-10,11,Q6538989,4th Convocation of the National Assembly of Belarus,Q28381393,6th Convocation of the National Assembly of Belarus,,,Q28381393,6th Convocation of the National Assembly of Belarus
6,Q28381393,6th Convocation of the National Assembly of Belarus,2016-10-11,2019-12-06,2016-10-11,11,,,2019-12-06,11,,,Q28381376,5th Convocation of the National Assembly of Belarus,Q83463673,7th Convocation of the National Assembly of Belarus,Q28381376,5th Convocation of the National Assembly of Belarus,,
7,Q83463673,7th Convocation of the National Assembly of Belarus,2019-12-06,,2019-12-06,11,,,,,,,Q28381393,6th Convocation of the National Assembly of Belarus,,,,,,
