wanted,position,positionid,from,start,end
Q24450482,ambassador to Croatia,Q110880412,Q110879417,2022-02-10,
Q21391969,Chairman of the State Security Committee,Q4436588,Q18613590,2020-01-20,2020-09-03
Q6542828,ambassador to Serbia,Q107565183,Q6472864,2017-04-27,
Q13028926,ambassador to Austria,Q113101178,Q3918088,2016-12-15,2020-02-25
Q13031751,ambassador to South Korea,Q21814431,Q28075243,2016-06,
Q3918921,Chairman of the Council of the National Assembly,Q13411096,Q45076,2015-01-16,2019-12-06
Q13132808,ambassador to France,Q13414812,Q2576047,2012-11-16,2019-01-15
Q3917695,Minister of Agriculture and Food,Q90315932,Q13031225,2012-08-21,2019-03-27
Q956041,Minister of Foreign Affairs,Q2045068,Q2026222,2012-08-20,
Q21029212,Minister of Forestry,Q106510809,Q13133778,2010-03-12,2018-02-15
Q6462656,ambassador to Kyrgyzstan,Q107565155,Q6472864,2006-08,2010-01
Q13132832,ambassador to Hungary,Q100333037,Q3918088,2006-05-16,2012-04-10
Q13132825,ambassador to the People's Republic of China,Q105728253,Q13132826,2006-04-13,2010-12-28
Q3918898,ambassador to Poland,Q13414820,Q2576047,2002-12-06,2008-10-31
