@@,itemlabel,item,startdate,enddate
->,Яўген Вячаслававіч Абаленскі->Яўген Абаленскі,Q10444907,2008-10-27,2016-10-10->2012-10-18
+++,Аляксандр Ласякін,Q11684846,2008-10-27,2012-10-18
+++,Аляксей Казлоў,Q11684848,2008-10-27,2012-10-18
->,Галіна Уладзіміраўна Палянская->Галіна Палянская,Q11708451,2004-11-16->2008-10-27,2012-10-18
+++,Георгій Дашкевіч,Q11709741,2008-10-27,2012-10-18
+++,Ігар Спільнічэнка,Q11711531,2008-10-27,2012-10-18
+++,Ігнат Місурагін,Q11711535,2008-10-27,2012-10-18
+++,Інеса Кляшчук,Q11712387,2008-10-27,2012-10-18
->,Іван Багатка,Q11714376,2008-10-27,2012-11-18->2012-10-18
+++,Яўген Казімірчык,Q11723346,2008-10-27,2012-10-18
+++,Яўген Мельнікаў,Q11723347,2008-10-27,2012-10-18
+++,Канстанцін Шэўчык,Q11734983,2008-10-27,2012-10-18
+++,Леанід Эльяшэвіч,Q11753405,2008-10-27,2012-10-18
+++,Марына Рэмша,Q11770910,2008-10-27,2012-10-18
+++,Мечыслаў Касцюк,Q11778197,2008-10-27,2012-10-18
->,Міхаіл Сяргеевіч Орда->Міхаіл Орда,Q11778494,2000-11-21->2008-10-27,2012->2012-10-18
->,Мікалай Андрэйчук->Мікалай Андрайчук,Q11780614,2008-10-27,2012-10-18
+++,Мікалай Гарбачонак,Q11780616,2008-10-27,2012-10-18
->,Мікалай Анатольевіч Жгун->Мікалай Жгун,Q11780621,2008-10-27,2012-10-18
+++,Мікалай Самасейка,Q11780622,2008-10-27,2012-10-18
+++,Ніна Федарук,Q11792287,2008-10-27,2012-10-18
->,Ніна Герасімаўна Кульша->Ніна Кульша,Q11792293,2008-10-27,2012-10-18
+++,Пётр Южык,Q11817593,2008-10-27,2012-10-18
->,Ганна Анішчук,Q14835239,2008-10-28->2008-10-27,2012-10-18
+++,Марыя Бірукова,Q14917863,2008-10-27,2012-10-18
---,Наталля Анатольеўна Клімовіч,Q14918190,2012-09-23,2016-10-10
->,Уладзімір Паўлавіч Андрэйчанка->Уладзімір Андрэйчанка,Q2029677,2008-10-27,NULL->2012-10-18
->,Анатоль Сцяпанавіч Ваньковіч->Анатоль Ваньковіч,Q24924995,2008-10-27,2012-10-18
+++,Аляксей Кузьміч,Q25536447,2008-10-27,2012-10-18
+++,Мікалай Казак,Q262216,2008-10-27,2012-10-18
+++,Леанід Кавалевіч,Q26897645,2008-10-27,2012-10-18
+++,Аляксандр Папкоў,Q26897718,2008-10-27,2012-10-18
+++,Алена Шамаль,Q26897741,2008-10-27,2012-10-18
+++,Генадзь Грыцкевіч,Q26897749,2008-10-27,2012-10-18
+++,Ігар Карпенка,Q28016609,2008-10-27,2012-10-18
+++,Сяргей Маскевіч,Q3545332,2008-10-27,2012-10-18
