@@,item,itemlabel,startdate,enddate
->,Q83283317,"Хренин, Виктор Геннадьевич->Віктар Генадзевіч Хрэнін",2020-01-20,
->,Q2579664,"Козловский, Павел Павлович->Павел Паўлавіч Казлоўскі",1992-04-01->1992-04,1994-07-01->1994-07
->,Q2026243,"Жадобин, Юрий Викторович->Юрый Віктаравіч Жадобін",2009-12-04,2014-11-27->2014-11-25
->,Q19772422,"Чумаков, Александр Петрович->Аляксандр Пятровіч Чумакоў",1996-11-01,2001-03-28
->,Q19772421,"Чаус, Пётр Григорьевич->Пётр Рыгоравіч Чавус",1991-12-01->1991-12,1992-04-01->1992-04
->,Q19772407,"Костенко, Анатолий Иванович->Анатоль Іванавіч Касценка",1994-07-28,1995-06-06
->,Q18613590,Андрей Алексеевич Равков->Андрэй Аляксеевіч Раўкоў,2014-11-27->2014-11-25,2020-01-20
->,Q1354620,"Мальцев, Леонид Семёнович->Леанід Сямёнавіч Мальцаў",2001-09-24,2009-12-04
->,Q1354620,"Мальцев, Леонид Семёнович->Леанід Сямёнавіч Мальцаў",1995-10-10,1996-11-01
